daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Ahn Gil Ho,"Han Suk Kyu, Kim Hyun Joo, Seo Kang Joon, ",Phim Hành động,2019,watcher,người giám sát,Phim Hàn Quốc,Phim Hành động
Damián Romay,"Josie Davis, Kaleigh Rivera, Ryan Paevey, ",Phim Hành động,2019,locked in,đã khóa trái,Phim Mỹ,Phim Hành động
Trần Quả,"Đặng Lệ Hân, Lưu Tâm Du, Trần Ngọc Vân, Trịnh Gia Dĩnh, Trương Tấn, ",Phim Hành động,2019,the invincible dragon,cửu long bất bại,Phim Hồng Kong,Phim Hành động
Luc Besson,"Helen Mirren, Luke Evans, Sasha Luss, ",Phim Hành động,2019,anna,sát thủ anna,Phim Mỹ,Phim Hành động
Miles Millar,"Aramis Knight, Emily Beecham, Sarah Bolger, ",Phim Hành động,2019,into the badlands season 3,vùng tử địa phần 3,Phim Mỹ,Phim Hành động
Hồ Trừ Tỷ,"Lữ Tụng Hiền, Lý Hoành Nghị, Triệu Tư Lộ, Trương Tư Phàm, ",Phim Hành động,2019,prodigy healer,thanh nang truyện,Phim Trung Quốc,Phim Hành động
Ha Won-Joon,"Jung Doo-Hong, Ryu Deok Hwan, Seo Eun-A, ",Phim Hành động,2019,fist & furious,nắm đấm dữ dội,Phim Hàn Quốc,Phim Hành động
Đang cập nhật,"Chu Nhất Long, Hà Long Long, Hoàng Mộng Oánh, Mao Hiểu Đồng, ",Phim Hành động,2020,the lost tomb - reunion: the sound of the providence 2,đạo mộ bút ký -trùng khởi: cực hải thính lôi (phần 2),Phim Trung Quốc,Phim Hành động
J.J. Abrams,"Anna Torv, John Noble, Joshua Jackson, ",Phim Hành động,2008,fringe season 01,giải mã kỳ án (phần 1),Phim Mỹ,Phim Hành động
Vu Chính,"Bạch Lộc, Hứa Khải, Ngô Giai Di, ",Phim Hành động,2019,arsenal military academy,học viện quân sự liệt hỏa,Phim Trung Quốc,Phim Hành động
Adrian Bol,"Andrea Vasiliou, Honor Kneafsey, Scott Adkins, ",Phim Hành động,2020,legacy of lies,đặc vụ ngầm,Phim Mỹ,Phim Hành động
Jon Watts,"Jake Gyllenhaal, Samuel L. Jackson, Tom Holland, Zenday, ",Phim Hành động,2019,spider man: far from home,người nhện: xa nhà,Phim Mỹ,Phim Hành động
Byung-woo Kim,"Jennifer Ehle, Jung woo Ha, Sun kyun Lee, ",Phim Hành động,2018,take point,chiến dịch ngầm,Phim Hàn Quốc,Phim Hành động
Drew Thomas,"Amarsaikhan Baljinnyam, Brandon Fobbs, Kaiwi Lyman, ",Phim Hành động,2019,the mongolian connection,thế giới ngầm mông cổ,"
								",Phim Hành động
Ridley Scott,"Abubakar Salim, Amanda Collin, Winta McGrath, ",Phim Hành động,2020,raised by wolves,trong vòng tay sói,Phim Mỹ,Phim Hành động
Triệu Hy Tịch,"Dương Hạo Sinh, Đường Bản, Triệu Thành Vũ, ",Phim Hành động,2018,taming dragon,giáng long chi bạch lộ vi sương,Phim Trung Quốc,Phim Hành động
Wych Kaosayananda,"Cary-Hiroyuki Tagawa, Kane Kosugi, Rade Serbedzija, ",Phim Hành động,2014,tekken: a man called x,thiết quyền 2: sự trả thù của kazuya,Phim Mỹ,Phim Hành động
Oh Kyung Hoon,"Hyun Woo Ji, Kim Ji Hoon, Lim Ju‑eun, Seohyun, ",Phim Hành động,2017,"bad thief, good thief ","trộm tốt, trộm xấu",Phim Hàn Quốc,Phim Hành động
Sam Liu,"Jerry O'Connell, Rainn Wilson, Rebecca Romijn, ",Phim Hành động,2019,reign of the supermen,triều đại của siêu nhân,Phim Mỹ,Phim Hành động
Harald Franklin,"Fernando Carrera, Jerry Kwarteng, Maurice Nash, ",Phim Hành động,2019,the glorious seven,7 chiến binh,Phim Mỹ,Phim Hành động
Kim Min-Ho,"Dong seok Ma, Ji hyo Song, Seong-oh Kim, ",Phim Hành động,2018,unstoppable,găng tơ tái xuất,Phim Hàn Quốc,Phim Hành động
Hồ Tuyết Hoa,"Dư Nam, Hồ Quân, Quách Thái Khiết, ",Phim Hành động,2020,lord of shanghai 2,vua thượng hải (phần 2),Phim Trung Quốc,Phim Hành động
Fuse Kittisak Cheewasatjasakun,"Apo Nattawin Wattanagitiphat, Diana Flipo, James Ma, ",Phim Hành động,2018,chat suea phan mungkorn,dòng máu rồng,Phim Thái Lan,Phim Hành động
Phí Chấn Tường,"A Lệ Á, Cao Vỹ Quang, Phan Việt Minh, Tân Chỉ Lôi, ",Phim Hành động,2019,candle in the tomb: the wrath of time,ma thổi đèn: chi nộ tinh tương tây,Phim Trung Quốc,Phim Hành động
Jesse V. Johnson,"Celina Jade, Iko Uwais, Tony Jaa, ",Phim Hành động,2019,triple threat,bộ ba vệ sĩ,Phim Mỹ,Phim Hành động
Nizam Razak,"Anas Abdul Aziz, Mohd Fathi Diaz, Nur Sarah Alisya, ",Phim Hành động,2016,boboiboy: the movie,boboiboy phiêu lưu ký,Phim Mỹ,Phim Hài
Guillermo del Toro,"Doug Jones, Ron Perlman, Selma Blair, ",Phim Hành động,2008,hellboy ii: the golden arm,quỷ đỏ 2: binh đoàn địa ngục,Phim Mỹ,Phim Hành động
Tằng Mẫn Sang,"Tiết Khải Kỳ, Trương Chí Lâm, Vương Dương Minh, ",Phim Hành động,2018,diurnal storm,nhật thực bão táp,Phim Hồng Kong,Phim Hành động
Lee An Gyoo,"Choi Moo Seong, Kim Hye Soo, Kim Min seok, Lee Hee Joon, Lee Seon Gyoon, ",Phim Hành động,2017,a special lady,quý cô đặc biệt,Phim Hàn Quốc,Phim Hành động
Joe Cornish,"Dean Chaumoo, Denise Gough, Louis Ashbourne Serkis, ",Phim Hành động,2019,the kid who would be king,cậu bé và sứ mệnh thiên tử,Phim Mỹ,Phim Hành động
J.C. Chandor,"Ben Affleck, Charlie Hunnam, Oscar Isaac, ",Phim Hành động,2019,triple frontier,băng cướp bất đắc dĩ,Phim Mỹ,Phim Hành động
Ernie Barbarash,"Andy On, Scott Adkins, Trương Ngọc Ánh, ",Phim Hành động,2019,abduction,truy đuổi,Phim Mỹ,Phim Hành động
Mạch Tử Thiện,"Lý Lân Binh, Miya Muqi, Triệu Văn Trác, ",Phim Hành động,2019,the unity of heroes 2,hoàng phi hồng: nộ hải hùng phong,Phim Trung Quốc,Phim Hài
Lâm Trân Chiêu,"Duy Ni, Đường Văn Long, Triệu Văn Trác, ",Phim Hành động,2018,the unity of heroes,hoàng phi hồng: nam bắc anh hùng,Phim Trung Quốc,Phim Hành động
Jesse V. Johnson,"Louis Mandylor, Scott Adkins, Vladimir Kulich, ",Phim Hành động,2018,the debt collector,đòi nợ thuê,Phim Anh,Phim Hành động
Jon Turteltaub,"Diane Kruger, Justin Bartha, Nicolas Cage, ",Phim Hành động,2007,national treasure: book of secrets,kho báu quốc gia 2: cuốn  sách bí mật,Phim Mỹ,Phim Hành động
Jin-Soon Lim,"Kim Sae Ron, Lee Sang Yeob, Ma dong seok, ",Phim Hành động,2018,the villagers,cô gái mất tích,Phim Hàn Quốc,Phim Hành động
Dzhanik Fayziev,"Aleksandr Ilin, Aleksey Serebryakov, Ilya Malakov, ",Phim Hành động,2017,furious aka legenda o kolovrate,đế chế bất diệt,Phim Khác,Phim Chiến Tranh
Jon Kauffman,"Alexander Dreymon, Erik LaRay Harvey, Lesley Ann Brandt, ",Phim Hành động,2019,heartlock,nội ứng,Phim Mỹ,Phim Hành động
Chung Thụ Giai,"Hứa Thiệu Hùng, Huỳnh Tông Trạch, Lưu Tâm Du, Miêu Kiều Vỹ, Ôn Bích Hà, Từ Chính Khê, ",Phim Hành động,2018,guardian angel,thủ hộ thần,Phim Hồng Kong,Phim Hành động
Lior Geller,"David Castañeda, Elijah Rodriguez, Jean-Claude Van Damme, ",Phim Hành động,2019,we die young,đoản mạng,Phim Mỹ,Phim Hành động
Adrian Teh,"Adi Afendi, Ammar Alfian, Keoh Chee Ang, ",Phim Hành động,2018,paskal: the movie,giải cứu,Phim Trung Quốc,Phim Hành động
Kim Sung-Hoon,"Doona Bae, Greg Chun, Jun ho Heo, ",Phim Hành động,2019,kingdom (season 1),vương quốc thây ma (phần 1),Phim Hàn Quốc,Phim Hành động
Jing Wong,"Châu nhuận phát, Lưu Đức Hòa, Lưu Gia Linh, Tạ Đình Phong, Trương Học Hữu, ",Phim Hành động,2016,the man from macau 3,thần bài macau 3,Phim Trung Quốc,Phim Hài
Kerry Conran,"Angelina Jolie, Gwyneth Paltrow, Jude Law, ",Phim Hành động,2004,sky captain and the world of tomorrow,đội trưởng sky và thế giới tương lai,Phim Mỹ,Phim Hành động
Jong-bin Yoon,"Jin-Woong Cho, Jung-min Hwang, Sung min Lee, ",Phim Hành động,2019,the spy gone north,kế hoạch bắc hàn,Phim Hàn Quốc,Phim Hành động
Hans Petter Moland,"Laura Dern, Liam Neeson, Micheál Richardson, ",Phim Hành động,2019,cold pursuit,báo thù,Phim Mỹ,Phim Hành động
Đang cập nhật,"Cao Vỹ Quang, Mã Y Lợi, Ngô Hạo Thần, ",Phim Hành động,2020,miss s,thần thám xinh đẹp,Phim Trung Quốc,Phim Hài
Lee Cheol-ha,"Bae Jung-nam, Lee Sang Yoon, Lee Sun Bin, Park Sung Woong, Uhm Jung-hwa, ",Phim Hành động,2020,okay! madam,ô kê! chị đại,Phim Hàn Quốc,Phim Hài
Eric Kripke,"Antony Starr, Jack Quaid, Karl Urban, ",Phim Hành động,2020,the boys (season 2),những anh hùng tệ nạn (phần 2),Phim Mỹ,Phim Hành động
Jason Rothenberg,"Bob Morley, Eliza Taylor, Marie Avgeropoulos, ",Phim Hành động,2014,the 100 season 1,100 tù nhân (phần 1),Phim Mỹ,Phim Hành động
Chris Nahon,"Allison Miller, Jun Ji Hyun, Masiela Lusha, ",Phim Hành động,2009,blood: the last vampire,ma cà rồng cuối cùng,Phim Nhật Bản,Phim Hành động
Li Li Ming,"Hao Xuan Li, Shao Xia, Zhao Wen Hao, ",Phim Hành động,2020,ip man: crisis time,thiếu niên diệp vấn: thời khắc nguy hiểm,Phim Trung Quốc,Phim Hành động
Tô Vạn Thông,"Hứa Thiệu Hùng, Huỳnh Thuý Như, Lâm Phong, Mã Quốc Minh, Miêu Kiều Vỹ, Viên Vỹ Hào, ",Phim Hành động,2020,line walker - bull fight,sứ đồ hành giả 3 (mất dấu 3),Phim Hồng Kong,Phim Hành động
Min-suk Kim,"Dong won Gang, Eun-chae Jung, Soo Go, ",Phim Hành động,2010,haunters,siêu linh,Phim Hàn Quốc,Phim Hành động
La Nhạc,"Hồ Tuyết Nhi, Lý Điện Tôn, Trương Trí Nghiêu, ",Phim Hành động,2020,mojin: mysterious treasure,ma thổi đèn: tương tây mật tạng,Phim Trung Quốc,Phim Hành động
Đang cập nhật,"Anna Torv, John Noble, Joshua Jackson, ",Phim Hành động,2009,fringe season 02,giải mã kỳ án (phần 2),Phim Mỹ,Phim Hành động
Hong Won-chan,"Hwang Jung Min, Lee Jung Jae, Park Jung Min, ",Phim Hành động,2019,deliver us from evil,ác quỷ đối đầu,Phim Hàn Quốc,Phim Hành động
Vasily Serikov,"Eebra Tooré, Ekaterina Malikova, Makar Zaporozhskiy, ",Phim Hành động,2014,22 minuty,22 phút,Phim Khác,Phim Hành động
Shim Jae Hyun,"Choi Jin Hyuk, Kon Hwa Woon, Park Yoo Hyun, ",Phim Hành động,2020,zombie detective,thám tử zombie,Phim Hàn Quốc,Phim Hài
Jason Rothenberg,"Bob Morley, Eliza Taylor, Marie Avgeropoulos, ",Phim Hành động,2014,the 100 season 2,100 tù nhân (phần 2),Phim Mỹ,Phim Hành động
Savage Steve Holland,"Breanna Yde, Jackie R. Jacobson, Ricardo Hurtado, ",Phim Hành động,2020,malibu rescue: the next wave,đội cứu hộ malibu: đợt sóng mới,Phim Mỹ,Phim Hài
Đang cập nhật,"Huỳnh Tông Trạch, Ngô Trác Hy, Quan Trí Bân, ",Phim Hành động,2020,white war,chiến độc,Phim Trung Quốc,Phim Hành động
Liu Bayin,"Feng Qing, Mengmeng Li, Phong Thanh, ",Phim Hành động,2020,the queen of kungfu,nữ hoàng võ thuật,Phim Trung Quốc,Phim Hành động
Akan Satayev,"Asylkhan Tolypov, Ayan Utepbergen, Kuralai Anabekova, ",Phim Hành động,2012,myn bala: warriors of the steppe,cuộc chiến trên thảo nguyên,Phim Khác,Phim Hành động
Sngmoo Lee,"Danny Huston, Geoffrey Rush, Kate Bosworth, ",Phim Hành động,2010,the warrior's way,con đường chiến binh,Phim Hàn Quốc,Phim Cổ Trang
Adolfo Martinez Perez,"Ariadna Gil, Raúl Mérida, Ruth Gabriel, ",Phim Hành động,2017,rescue under fire,cứu hộ trong lửa,Phim Khác,Phim Chiến Tranh
Josh Boone,"Anya Taylor-Joy, Charlie Heaton, Maisie Williams, ",Phim Hành động,2020,the new mutants,dị nhân thế hệ mới,Phim Mỹ,Phim Hành động
Aaron Sorkin,"Eddie Redmayne, Joseph Gordon-Levitt, Sacha Baron Cohen, ",Phim Hành động,2020,the trial of chicago 7,phiên tòa chicago số 7,Phim Mỹ,Phim Chiến Tranh
Im Dae Woong,"Choi Yoon Je, Jang Dong Yoon, Krystal, Lee Hyun Wook, Moon Jung hee, Yoon Park, ",Phim Hành động,2020,search,truy tìm,Phim Hàn Quốc,Phim Hành động
Alan MakWai-keung Lau,"Anthony Wong Chau-Sang, Edison Chen, Shawn Yue, ",Phim Hành động,2003,infernal affairs 2,vô gian đạo 2,Phim Hồng Kong,Phim Hành động
Brian A Miller,"Meadow Williams, Ryan Guzman, Sylvester Stallone, ",Phim Hành động,2018,backtrace,truy lùng tội ác,Phim Mỹ,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Leon Lai, Tony Leung Chiu Wai, ",Phim Hành động,2003,infernal affairs 3,vô gian đạo 3,Phim Hồng Kong,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Anthony Wong Chau-Sang, Tony Leung Chiu Wai, ",Phim Hành động,2002,infernal affair,vô gian đạo,Phim Hồng Kong,Phim Hành động
Khương Khải Dương,"Đàm Khải, Nhiếp Viễn, Từ Lộ, ",Phim Hành động,2018,the blizzard,đạo cao một trượng,Phim Trung Quốc,Phim Hành động
Wolfgang Petersen,"Gary Oldman, Glenn Close, Harrison Ford, ",Phim Hành động,1997,air force one,chuyên cơ không lực 1,Phim Mỹ,Phim Hành động
Đang cập nhật,"Chaos Lee, Leon Lee，Zhang Ling, ",Phim Hành động,2020,dragon hunting in the western regions,vua phiêu lưu: thợ săn rồng tây vực,Phim Trung Quốc,Phim Cổ Trang
George P. Cosmatos,"Brigitte Nielsen, Reni Santoni, Sylvester Stallone, ",Phim Hành động,1986,cobra,rắn hổ mang,Phim Mỹ,Phim Hành động
Đang cập nhật,"Lý Thần Hạo, Mễ Lộ, Trương Siêu, ",Phim Hành động,2018,visible lie,tâm lý tội phạm: tiểu đội x,Phim Trung Quốc,Phim Hành động
Paul Greengrass,"Greg Kinnear, Jason Isaacs, Matt Damon, ",Phim Hành động,2010,green zone,bão táp sa mạc,Phim Mỹ,Phim Chiến Tranh
Seung-Won Lee,"Bruce Khan, Hee soon Park, Jin seo Yoon, ",Phim Hành động,2019,revenger,báo thù,Phim Hàn Quốc,Phim Hành động
Lawrence Kasdan,"Kevin Costner, Kevin kline, Scott Glenn, ",Phim Hành động,1985,silverado,bắn nhanh thì sống,Phim Mỹ,Phim Hành động
Lewis Gilbert,"Barbara Bach, Curd Jürgens, Roger Moore, ",Phim Hành động,1977,the spy who loved me,điệp viên 007: chàng điệp viên tôi yêu,Phim Mỹ,Phim Hành động
Jim Wynorski,"Christine Nguyen, Dominique Swain, Traci Lords, ",Phim Hành động,2016,sharkansas women's prison massacre,cá mập tiền sự trỗi dậy: sát thủ từ lòng đất,Phim Mỹ,Phim Hài
Ernst Gossner,"Claudia Cardinale, Eugenia Costantini, William Moseley, ",Phim Hành động,2014,the silent mountain,ngọn núi trầm lặng,Phim Mỹ,Phim Hành động
Guy Hamilton,"Britt Ekland, Christopher Lee, Roger Moor, ",Phim Hành động,1974,the man with the golden gun,điệp viên 007: sát thủ với khẩu súng vàng,Phim Mỹ,Phim Hành động
Keoni Waxman,"Meghan Ory, Steven Seagal, Warren Christie, ",Phim Hành động,2011,deadly crossing,ngã tư tử thần,Phim Mỹ,Phim Hành động
Joachim Rønning,"Penelope Cruz, Salma Hayek, Steve Zahn, ",Phim Hành động,2006,bandidas,băng cướp xinh đẹp,Phim Mỹ,Phim Hài
Vicky Jewson,"Abdellatif Chaouqi, Noomi Rapace, Olivia Jewson, ",Phim Hành động,2019,close,cận vệ,Phim Mỹ,Phim Hành động
Carl Bessai,"Amanda Crew, Dustin Milligan, Richard de Klerk, ",Phim Hành động,2010,repeaters,vòng lặp chết người,Phim Khác,Phim Hành động
Peter Hyams,"Jean-Claude Van Damme, Mia Sara, Ron Silver, ",Phim Hành động,1994,timecop,cớm thời gian,Phim Mỹ,Phim Hành động
R. Ellis Frazier,"Aidan Quinn, Andy Garcia, Mario Van Peebles, ",Phim Hành động,2010,across the line: the exodus of charlie wright,vượt qua biên giới: cuộc trốn chạy của charlie wright,Phim Mỹ,Phim Hành động
Giả Chương Kha,"Liêu Phàm, Triệu Đào, Từ Tranh, ",Phim Hành động,2018,ash is purest white,giang hồ nữ nhi,Phim Trung Quốc,Phim Hành động
Mark Atkins,"Jamie Atkins, Jane March, Robert Boyle, ",Phim Hành động,2013,jack the giant killer,jack – kẻ giết quái vật khổng lồ,Phim Mỹ,Phim Hành động
Glen Pitre,"Billy Zane, Carol Alt, Eric Braeden, ",Phim Hành động,2008,the man who came back,người về từ chiến trận,Phim Mỹ,Phim Hành động
Diego Ayala,"Andres Cesar Gonzalez, Jocelyn Anfossy, Paulina Cuevas, ",Phim Hành động,2015,6 hours: the end,6 giờ cuối cùng,Phim Khác,Phim Hành động
Oliver Bever,"Ausadaporn Siriwattanakul, Maneewan Sornsin, Pimpawee Kograbin, Siwat Chotchaicharin, ",Phim Hành động,2016,the reincarnation,tái sinh,Phim Thái Lan,Phim Hành động
Ding Wang,"Chloe Mercedez, Duojie Suonan, Picardy Jean-Pierre, ",Phim Hành động,2018,reincarnation,luân hồi chiến,Phim Khác,Phim Hành động
Craig R. Baxley,"Bruce Boxleitner, Casper Van Dien, Ernest Borgnine, ",Phim Hành động,2008,aces 'n' eights,ách và tám,Phim Mỹ,Phim Hành động
Christian Rivers,"Hera Hilmar, Hugo Weaving, Robert Sheehan, ",Phim Hành động,2018,mortal engines,cổ máy tử thần,Phim Mỹ,Phim Hành động
Jason Pagnoni,"Eliza Roberts, Eric Roberts, Jenny Hutton, ",Phim Hành động,2018,days of power,lời mời nguy hiểm,Phim Mỹ,Phim Âm Nhạc
Paul Jarrett,"Gregory Lay, Richard Short, Victor Cruz, ",Phim Hành động,2017,crazy famous,những gã khùng nổi tiếng,Phim Mỹ,Phim Hài
Filip Maciejewicz,"Adrian Voo, Athena Baumeister, Bo Linton, ",Phim Hành động,2013,seventy-nine,bệnh nhân số 79,Phim Mỹ,Phim Hành động
Rob Baard,"Danny Glover, Rob Baard, Roger Neave, ",Phim Hành động,2014,ninja immovable heart,quả tim bất diệt,Phim Mỹ,Phim Hành động
John Turman,"Cuba Gooding Jr., Neal McDonough, Nicki Aycox, ",Phim Hành động,2011,ticking clock,giây phút sinh tử,Phim Mỹ,Phim Hành động
Lý Á Đông,"Lô Hâm, Lưu Sở Minh, Mã Thiên Nhất, ",Phim Hành động,2018,the river pirates,hà tặc,Phim Trung Quốc,Phim Cổ Trang
Michael J Bassett,"Philip Winchester, Rhashan Stone, Sullivan Stapleton, ",Phim Hành động,2013,strike back season 4,phản đòn phần 4,Phim Nhật Bản,Phim Hành động
Travis Thoms,"Alyssa Beth, Dean Cain, Jenelle Baptiste, ",Phim Hành động,2018,prolonged exposure,phơi bày sự thật,Phim Mỹ,Phim Hành động
Aleksey Sidorov,"Alexander Petrov, Viktor Dobronravov, Vinzenz Kiefer, ",Phim Hành động,2018,t-34,chiến tăng huyền thoại,Phim Khác,Phim Chiến Tranh
Roland Emmerich,"Chris Cooper, Heath Ledger, Jason Isaacs, Joely Richardson, Mel Gibson, ",Phim Hành động,2000,the patriot ,người yêu nước,Phim Mỹ,Phim Hành động
Richard Fleischer,"Jason Robards, Martin Balsam, Sô Yamamura, ",Phim Hành động,1970,tora! tora! tora!,tập kích trân châu cảng,Phim Mỹ,Phim Chiến Tranh
F. Gary Gray,"Charlize Theron, Donald Sutherland, Edward Norton, Jason Statham, Mark Wahlberg, ",Phim Hành động,2003,the italian job,kẻ phản bội,Phim Mỹ,Phim Hành động
Michael Davis,"Clive Owen, Monica bellucci, Paul Giamatti, ",Phim Hành động,2007,shoot 'em up,nhiệm vụ bất đắc dĩ,Phim Mỹ,Phim Hành động
William Friedkin,"Ellen Burstyn, Linda Blair, Max von Sydow, ",Phim Hành động,1973,the exorcist,qủy ám,Phim Mỹ,Phim Hành động
Donovan Marsh,"Common, Gary Oldman, Gerard Butler, ",Phim Hành động,2018,hunter killer,mật vụ giải cứu,Phim Mỹ,Phim Hành động
Paul Feig,"Melissa McCarthy, Michael McDonald, Sandra Bullock, ",Phim Hành động,2013,the heat,cuộc chiến nảy lửa,Phim Mỹ,Phim Hài
Rick Jacobson,"John Hannah, Manu Bennett, Peter Mensah, ",Phim Hành động,2011,spartacus: gods of the arena,spartacus: chúa tể đấu trường,Phim Mỹ,Phim Chiến Tranh
Viên Hòa Bình,"Dave Bautista, Dương Tử Quỳnh, Liễu Nham, Thích Hành Vũ, Trịnh Gia Dĩnh, Trương Tấn, ",Phim Hành động,2018,ip man: cheung tin chi,diệp vấn ngoại truyện: trương thiên chí,Phim Hồng Kong,Phim Hành động
Dito Montiel,"Dwayne Johnson, Liam Hemsworth, Michael Angarano, ",Phim Hành động,2013,empire state,cướp liên bang,Phim Mỹ,Phim Hành động
Julius Avery,"Jovan Adepo, Pilou Asbæk, Wyatt Russell, ",Phim Hành động,2018,overlord,chiến dịch overlord,Phim Mỹ,Phim Chiến Tranh
Jonas Åkerlund,"Katheryn Winnick, Mads Mikkelsen, Vanessa Hudgens, ",Phim Hành động,2019,polar,sát thủ tái xuất,Phim Mỹ,Phim Hành động
Lữ Nhạc,"Diêu Thần, Mã Y Lợi, Viên Văn Khang, ",Phim Hành động,2018,"lost, found",tìm thấy con,Phim Trung Quốc,Phim Hành động
William Collinson,"Amalia Uys, Brandon Auret, Graham Clarke, ",Phim Hành động,2017,double echo,tiếng vọng kép,Phim Mỹ,Phim Hành động
Russell Friedenberg,"Glen Powell, Rudy Youngblood, Zane Holtz, ",Phim Hành động,2015,wind walkers,lời nguyền bí ẩn,Phim Mỹ,Phim Hành động
Jake Thomas Armbruster,"Justin Berti, Oliver Seitz, Omar Saavedra, ",Phim Hành động,2016,brothers in arms,anh em như thể tay chân,Phim Mỹ,Phim Hành động
Otto Bathurst,"Ben Mendelsohn, Jamie Foxx, Taron Egerton, ",Phim Hành động,2019,robin hood,siêu trộm lừng danh robin hood,Phim Mỹ,Phim Hành động
Fede Alvarez,"Beau Gadsdon, Claire Foy, Sverrir Gudnason, ",Phim Hành động,2018,the girl in the spider's web,cô gái trong lưới nhện ảo,Phim Mỹ,Phim Hành động
Phil Gorn,"Jason London, Jeremy London, Susan Duerden, ",Phim Hành động,2017,branded,kẻ bị đóng dấu,Phim Mỹ,Phim Hành động
Guillermo del Toro,"Doug Jones, Ron Perlman, Selma Blair, ",Phim Hành động,2004,hellboy,quỷ đỏ,Phim Mỹ,Phim Hành động
M J Bassett,"Daniel MacPherson, Roxanne McKee, Warren Brown, ",Phim Hành động,2015,strike back season 5,phản đòn phần 5,Phim Mỹ,Phim Hành động
Dominic Burns,Đang cập nhật,Phim Hành động,2012,u.f.o,vật thể lạ,Phim Mỹ,Phim Hành động
Terence H. Winkless,"Alexis Thorpe, Maxwell Caulfield, Todd Jensen, ",Phim Hành động,2007,nightmare city 2035,thành phố ác mộng 2035,Phim Khác,Phim Hành động
Yuen Woo Ping,"Carol, Chung Tử Ðơn, Simon Yam, ",Phim Hành động,1988,tiger cage,đặc cảnh đồ long,Phim Hồng Kong,Phim Hành động
Lưu Vĩ Cường,"Châu Đông Vũ, Cổ Thiên Lạc, Trần Học Đông, ",Phim Hành động,2019,kung fu monster,võ lâm quái thú,Phim Trung Quốc,Phim Hài
Matt Codd,"Adrian Paul, Frida Farrell, Rhett Giles, ",Phim Hành động,2007,wraiths of roanoke,hòn đảo quỷ ám,Phim Mỹ,Phim Hành động
Brian Herzlinger,"Holly Elissa, Steve Daron, Steven Chase, ",Phim Hành động,2016,bus driver,tài xế xe buýt,Phim Mỹ,Phim Hành động
Simon Fellows,"Alan McKenna, Jean-Claude Van Damme, Julie Cox, ",Phim Hành động,2006,second in command,hiệu lệnh ngầm,Phim Mỹ,Phim Chiến Tranh
Glen Kirby,"Ian Beattie, Matthew Jure, Thomas Beatty, ",Phim Hành động,2017,the pugilist,báo thù,Phim Mỹ,Phim Hành động
Deborah Goodwin,"Franky G, Ismael Cruz Cordova, Rosal Colon, ",Phim Hành động,2016,the pastor,mục sư,Phim Mỹ,Phim Hành động
Babak Najafi,"Billy Brown, Jahi Di'Allo Winston, Taraji P. Henson, ",Phim Hành động,2018,proud mary,sát thủ mary,Phim Mỹ,Phim Hành động
Blademil Grullon,"Lexi Delarosa, Miguel Fuego Duran, Paul Antoine, ",Phim Hành động,2017,a miami love story,băng đảng miami,Phim Mỹ,Phim Hành động
Isaac Florentine,"Cary-Hiroyuki Tagawa, Dolph Lundgren, Valerie Chow, ",Phim Hành động,1999,bridge of dragons,cầu rồng,Phim Mỹ,Phim Hành động
John Bonito,"John Cena, Kelly Carlson, Robert Patrick, ",Phim Hành động,2006,the marine,lính thủy đánh bộ,Phim Mỹ,Phim Hành động
Florian Henckel von Donnersmarck,"Angelina Jolie, Johnny Depp, Paul Bettany, ",Phim Hành động,2010,the tourist,du khách bí ẩn,Phim Mỹ,Phim Hành động
Brian Goodman,"Amanda Peet, Donnie Wahlberg, Ethan Hawke, Mark Ruffalo, ",Phim Hành động,2008,what doesn’t kill you,điều không thể giết ta,Phim Mỹ,Phim Hành động
Il-Hyeong Lee,"Joo Jin Mo, Jung-min Hwang, Kang Dong Won, ",Phim Hành động,2016,a violent prosecutor,công tố viên hung bạo,Phim Hàn Quốc,Phim Hành động
James Wan,"Amber Heard, Dolph Lundgren, Jason Momoa, ",Phim Hành động,2018,aquaman,aquaman: đế vương atlantis,Phim Mỹ,Phim Hành động
Viên Hòa Bình,"Chung Tử Ðơn, Dương Lệ Thanh, Michael Wong, Viên Nhật Sơ, ",Phim Hành động,1989,in the line of duty 4,tiêu diệt chứng nhân 4,Phim Hồng Kong,Phim Hành động
Ridley Scott,"Leonardo DiCaprio, Mark Strong, Russell Crowe, ",Phim Hành động,2008,body of lies,điệp vụ cá đuối,Phim Mỹ,Phim Hành động
Marc Forster,"Daniel Craig, Mathieu amalric, Olga Kurylenko, ",Phim Hành động,2008,quantum of solace,điệp viên 007: định mức khuây khỏa,Phim Mỹ,Phim Hành động
Haofeng Xu,"Lý Trình Viện, Quá Đức Thành, Tống Dương, Trương Chính, Vu Thừa Huệ, ",Phim Hành động,2016,judge archer,cung sư huyền thoại,Phim Trung Quốc,Phim Hành động
David Leitch,"Josh Brolin, Morena Baccarin, Ryan Reynolds, ",Phim Hành động,2018,once upon a deadpool,deadpool ngày xửa ngày xưa,Phim Mỹ,Phim Hài
Michael Caton Jones,"Famke Janssen, Richard Dreyfuss, Ron Perlman, ",Phim Hành động,2018,asher,siêu sát thủ,Phim Mỹ,Phim Hành động
