daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Alan MakWai-keung Lau,"Anthony Wong Chau-Sang, Edison Chen, Shawn Yue, ",Phim Hành động,2003,infernal affairs 2,vô gian đạo 2,Phim Hồng Kong,Phim Hành động
Brian A Miller,"Meadow Williams, Ryan Guzman, Sylvester Stallone, ",Phim Hành động,2018,backtrace,truy lùng tội ác,Phim Mỹ,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Anthony Wong Chau-Sang, Tony Leung Chiu Wai, ",Phim Hành động,2002,infernal affair,vô gian đạo,Phim Hồng Kong,Phim Hành động
Choi Joon Bae,"Ahn Jae Wook, Kim Jung Nan, Kyung Soo Jin, Lee Hee Joon, Lee Seung Gi, Park Joo Hyun, ",Phim Hành động,2021,mouse,kẻ săn người,Phim Hàn Quốc,Phim Hành động
Wang Baoqiang,"Liu Haoran, Wang Baoqiang, ",Phim Hành động,2020,detective chinatown 3,thám tử phố tàu 3,Phim Trung Quốc,Phim Hành động
Kim Joo-Hwan,"Choi Woo Sik, Kim Si-eun, Park Seo Joon, ",Phim Hành động,2019,the divine fury,sứ giả của chúa,Phim Hàn Quốc,Phim Hành động
Paul Greengrass,"David Strathairn, Julia Stiles, Matt Damon, ",Phim Hành động,2007,the bourne ultimatum,tối hậu thư của bourne,Phim Mỹ,Phim Hành động
Alan MakWai-keung Lau,"Andy Lau, Leon Lai, Tony Leung Chiu Wai, ",Phim Hành động,2003,infernal affairs 3,vô gian đạo 3,Phim Hồng Kong,Phim Hành động
Kenji Kodama,"Doug Burks, Laura Bailey, ",Phim Hoạt Hình,2000,detective conan movie 4: captured in her eyes,thám tử conan movie 4: thủ phạm trong đôi mắt,Phim Nhật Bản,Phim Hoạt Hình
Zack Snyder,"Dave Bautista, Ella Purnell, Omari Hardwick, ",Phim Hành động,2021,army of the dead,đội quân người chết,Phim Mỹ,Phim Hành động
Kenji Kodama,"Laura Bailey, Mie Akagi, ",Phim Hoạt Hình,2001,detective conan movie 5: countdown to heaven,thám tử conan movie 5: những giây cuối cùng tới thiên đường,Phim Nhật Bản,Phim Hoạt Hình
Kunihiko Yuyama,"Ikue Otani, ",Phim Hoạt Hình,2016,pokémon the movie: volcanion and the mechanical marvel,pokemon movie 19 xyz: volkenion và magiana siêu máy móc,Phim Nhật Bản,Phim Hoạt Hình
Alexandre Aja,"Barry Pepper, Kaya Scodelario, ",Phim Hành động,2019,crawl,địa đạo cá sấu tử thần,Phim Mỹ,Phim Hành động
Thập Nhất Nguyệt,"Dương Dương, Giang Sơ Ảnh, Lại Vũ Mông, Lương Dịch Mộc, Lý Ngọc Khiết, Tôn Ninh, ",Phim Hành động,2019,the king's avatar,toàn chức cao thủ,Phim Trung Quốc,Phim Hành động
Banjong Pisanthanakun,"Davika Hoorne, Mario Maurer, Nattapong Chartpong, ",Phim Kinh Dị,2013,pee mak phrakanong,tình người duyên ma,Phim Thái Lan,Phim Hài
Glen Hill,"Dixie Carter, Hal Holbrook, Robby Benson, ",Phim Hoạt Hình,2000,the life & adventures of santa claus,cuộc sống và những chuyến phiêu lưu của ông già tuyết,Phim Mỹ,Phim Hoạt Hình
Pakphum Wongjinda,"Apittha Khlaiudom, Chayarop Pratit, Panupan Jantanawong, Parkin Borwornsiriluck, ",Phim Kinh Dị,2014,possessed,ma xuất ma nhập,Phim Thái Lan,Phim Hài
Dai Wei,"Chen Yuan, Li Wei Dau Wei, Si Ligeng, ",Phim Kinh Dị,2014,shining soul,linh hồn trong sáng,Phim Trung Quốc,Phim Kinh Dị
Catherine Hardwicke,"Justin Chon, Kristen Stewart, Robert Pattinson, ",Phim Kinh Dị,2008,twilight,chạng vạng,Phim Mỹ,Phim Kinh Dị
Tyler Gillet,"Allison Miller, Steffie Grote, Zach Gilford, ",Phim Kinh Dị,2013,devil's due,con quỷ,Phim Mỹ,Phim Kinh Dị
Stephen Hopkins,"Ben Schwartz, Don Cheadle, Kristen Bell, ",Phim Kinh Dị,2013,death do us part,kẻ phải giết,Phim Mỹ,Phim Kinh Dị
Greg Mclean,"John Jarratt, Ryan Corr, Shannon Ashlyn, ",Phim Kinh Dị,2014,wolf creek 2,thung lũng sói 2,Phim Mỹ,Phim Kinh Dị
Brett Ratner,"Anthony Hopkins, Edward Norton, Ralph Fiennes, ",Phim Kinh Dị,2002,red dragon,rồng đỏ,Phim Mỹ,Phim Kinh Dị
Zach Lipovsky,"Danica McKellar, Kenneth Mitchell, ",Phim Kinh Dị,2013,tasmanian devils,ác quỷ hộ sơn,Phim Mỹ,Phim Kinh Dị
Zhou Yaowu,"Hu Bing, Monica Mok, Wang Shuangbao, ",Phim Kinh Dị,2012,harpoon,đảo kinh hoàng,Phim Hàn Quốc,Phim Kinh Dị
Mac Carter,"Harrison Gilbertson, Jacki Weaver, Liana Liberato, ",Phim Kinh Dị,2014,haunt,nhà ma,Phim Mỹ,Phim Kinh Dị
David Mun,"Christian Oliver, Marietta Marich, Rachel Marie Lewis, ",Phim Kinh Dị,2013,house of good and evil,nhà quỷ,Phim Mỹ,Phim Kinh Dị
Ron Underwood,"Finn Carter, Fred Ward, Kevin Bacon, ",Phim Kinh Dị,1990,tremors,quái vật lòng đất,Phim Mỹ,Phim Kinh Dị
Đang cập nhật,"Bailey Gaddis, Elizabeth Friedman, Lauren Bronleewe, ",Phim Kinh Dị,2014,the mummy resurrected,xác ướp phục sinh,Phim Mỹ,Phim Kinh Dị
David Kuan,"Dư Tâm Điềm, Lang Bằng, Phó Mạn, Quách Diễm, ",Phim Kinh Dị,2014,death is here 3,bút tiên 3,Phim Trung Quốc,Phim Kinh Dị
Mike Flanagan,"Brenton Thwaites, Karen Gillan, Katee Sackhoff, ",Phim Kinh Dị,2013,oculus,ma gương,Phim Mỹ,Phim Kinh Dị
Oxide Pang Chun,"Dylan McDermott, Kristen, Penelope Ann Miller, ",Phim Kinh Dị,2007,the messengers,những người đưa tin,Phim Mỹ,Phim Kinh Dị
John Pogue,"Jared Harris, Olivia Cooke, Sam Claflin, ",Phim Kinh Dị,2014,the quiet ones,nữ oan hồn 2,Phim Mỹ,Phim Kinh Dị
Bhushan Patel,"Divya Dutta, Parvin Dabas, Sunny Leone, ",Phim Kinh Dị,2014,ragini mms 2,người tình ma 2,Phim Ấn Độ,Phim Kinh Dị
Marvin Kren,"Brigitte Kren, Edita Malovcic, Gerhard Liebmann, ",Phim Kinh Dị,2014,blood glacier,băng huyết,Phim Mỹ,Phim Kinh Dị
Ngai Kai Lam,"Siu Wong Fan, ",Phim Kinh Dị,1991, riki oh the story of ricky,lực vương,Phim Hồng Kong,Phim Kinh Dị
Alexandre Aja,"Amy Smart, Kiefer Sutherland, Paula Patton, ",Phim Kinh Dị,2008,mirrors,gương quỷ,Phim Mỹ,Phim Kinh Dị
Rand Vossler,"AnnaMaria Demara, Eileen Dietz, Matthew Currie Holmes, ",Phim Kinh Dị,2014,demon legacy,quỷ nhập,Phim Mỹ,Phim Kinh Dị
Neverlake,"Daisy Keeping, David Brandon, Joy Tanner, ",Phim Kinh Dị,2014,neverlake,hồ quỷ,Phim Mỹ,Phim Kinh Dị
James Wan,"Patrick Wilson, Rose Byrne, Ty Simpkins, ",Phim Kinh Dị,2013,insidious: chapter 2,ma quái 2,Phim Mỹ,Phim Kinh Dị
Mark Waters,"Danila Kozlovsky, Lucy Fry, Zoey Deutch, ",Phim Kinh Dị,2014,vampire academy,học viện ma cà rồng,Phim Mỹ,Phim Kinh Dị
Đang cập nhật,"Chu Trí Huân, Từ Khiết Nhi, ",Phim Kinh Dị,2014,heat incantation,bùa quỷ,Phim Trung Quốc,Phim Kinh Dị
Scott Derrickson,"Édgar Ramírez, Eric Bana, Olivia Munn, ",Phim Kinh Dị,2014,deliver us from evil,linh hồn báo thù,Phim Mỹ,Phim Hình Sự
Jen Soska,"Danielle Harris, Glenn Jacobs, Katharine Isabelle, ",Phim Kinh Dị,2014,see no evil 2,giải phóng ác quỷ,Phim Mỹ,Phim Kinh Dị
James DeMonaco,"Carmen Ejogo, Frank Grillo, Zach Gilford, ",Phim Kinh Dị,2014,the purge: anarchy,ngày thanh trừng 2: hỗn loạn,Phim Mỹ,Phim Kinh Dị
Joel Schumacher,"Jim Carrey, Logan Lerman, Virginia Madsen, ",Phim Kinh Dị,2014,the number 23,số 23 bí ẩn,Phim Mỹ,Phim Kinh Dị
Joon ho Bong,"Kang ho Song, Roe ha Kim, Sang-kyung Kim, ",Phim Kinh Dị,2003,memories of murder,hồi ức kẻ sát nhân,Phim Trung Quốc,Phim Kinh Dị
Marcel Walz,"Caroline Williams, Christa Campbell, Natalie Scheetz, ",Phim Kinh Dị,2014,seed 2 the new breed,sát nhân biến thái,Phim Mỹ,Phim Kinh Dị
Valeri Milev,"Anthony Ilott, Aqueela Zoll, Sadie Katz, ",Phim Kinh Dị,2014,wrong turn 6: last resort,ngã rẽ tử thần 6,Phim Mỹ,Phim Kinh Dị
Jordan Rubin,"Brent Briscoe, Chad Anderson, Lexi Atkins, ",Phim Kinh Dị,2014,zombeavers,đầm lầy chết chóc,Phim Mỹ,Phim Kinh Dị
William Eubank,"Beau Knapp, Brenton Thwaites, Olivia Cooke, ",Phim Kinh Dị,2014,the signal,tín hiệu kích động,Phim Mỹ,Phim Khoa Học
Daniel Barnz,"Alex Pettyfer, Mary Kate Olsen, Vanessa Hudgens, ",Phim Kinh Dị,2011,beastly,ma thuật tình yêu,Phim Mỹ,Phim Kinh Dị
Shin Jae Young,"Jeong Yu mi, Jo Dal Hwan, Jung Kyung Ho, Kim Sae Ron, ",Phim Kinh Dị,2014,manhole,sát nhân cống ngầm,Phim Hàn Quốc,Phim Kinh Dị
Chris Carter,"David Duchovny, Gillian Anderson, Mitch Pileggi, ",Phim Kinh Dị,1993,the x-files: season 1,hồ sơ tuyệt mật: phần 1,Phim Mỹ,Phim Hình Sự
Hashim Rejab,"Adibah Yunus, Azwan Kombos, Delimawati, Herman Tino, Shima Anuar, ",Phim Kinh Dị,2014,nasi tangas,bùa yêu,Phim Khác,Phim Kinh Dị
Hiroaki Matsuyama,"Erika Toda, Megumi Seki, Shôta Matsuda, ",Phim Kinh Dị,2010,liar game the final stage,thử thách cuối cùng,Phim Nhật Bản,Phim Kinh Dị
Sophon Sakdaphisit,"Chutavuth Pattarakampol, Supassra Thanachat, Thanapob Leeratanakajorn, ",Phim Kinh Dị,2014,the swimmers,bí ẩn tại hồ bơi,Phim Thái Lan,Phim Kinh Dị
Fede Alvarez,"Jane Levy, Lou Taylor Pucci, Shiloh Fernandez, ",Phim Kinh Dị,2013,evil dead,ma cây remake,Phim Mỹ,Phim Kinh Dị
Steve Barker,"Ali Craig, Catherine Steadman, Richard Coyle, ",Phim Kinh Dị,2012,outpost black sun,đội quân địa ngục,Phim Mỹ,Phim Kinh Dị
Chris Carter,"David Duchovny, Gillian Anderson, Mitch Pileggi, ",Phim Kinh Dị,1995,the x-files: season 3,hồ sơ tuyệt mật: phần 3,Phim Mỹ,Phim Hình Sự
Chris Carter,"David Duchovny, Gillian Anderson, Mitch Pileggi, ",Phim Kinh Dị,1994,the x-files: season 2,hồ sơ tuyệt mật: phần 2,Phim Mỹ,Phim Hình Sự
Andrew Douglas,"Jimmy Bennett, Melissa George, Ryan Reynolds, ",Phim Kinh Dị,2005,the amityville horror,chuyện rùng rợn ở amityville,Phim Mỹ,Phim Kinh Dị
Thịnh Chí Dân,"Kiều Nhâm Lương, Liễu Nham, Tân Hạo, Tống Ninh, ",Phim Kinh Dị,2012,the zodiac mystery,bí ẩn 12 con giáp,Phim Trung Quốc,Phim Kinh Dị
James Wan,"Lili Taylor, Patrick Wilson, Vera Farmiga, ",Phim Kinh Dị,2013,the conjuring,ám ảnh kinh hoàng,Phim Mỹ,Phim Kinh Dị
Taweewat Wantha,"Acharanat Ariyaritwikol, Chinawut, Natpassara Adulyamethasiri, ",Phim Kinh Dị,2013,long weekend,kỳ nghỉ tai ương,Phim Thái Lan,Phim Kinh Dị
Justin Head,"Brandon Auret, Brian Baynes, Christopher Beasley, ",Phim Kinh Dị,2010,night drive,chuyến săn tử thần,Phim Mỹ,Phim Kinh Dị
Fede Alvarez,"Jessica Lucas, Shiloh Fernandez, ",Phim Kinh Dị,2013,evil dead,ma cây,Phim Mỹ,Phim Kinh Dị
Catherine Hardwicke,"Amanda Seyfried, Gary Oldman, Lukas Haas, ",Phim Kinh Dị,2013,red riding hood,cô gái quàng khăn đỏ,Phim Mỹ,Phim Hành động
Jin Hyuk,"Gong Hyo Jin, Seo In Gook, So Ji Sub, ",Phim Kinh Dị,2013,the master's sun,mặt trời của chàng joo,Phim Hàn Quốc,Phim Hài
Timur Bekmambetov,"Anthony Mackie, Benjamin Walker, Dominic Cooper, Mary Elizabeth Winstead, Rufus Sewell, ",Phim Kinh Dị,2012,abraham lincoln vampire hunter,thợ săn ma cà rồng,Phim Mỹ,Phim Kinh Dị
Jeong-woo Park,"Dong-wan Kim, Jae-pil, Moon Jeong-hee, ",Phim Kinh Dị,2012,yeongasi,ký sinh trùng,Phim Hàn Quốc,Phim Kinh Dị
Paco Plaza,"Diego Martín, Ismael Martínez, Leticia Dolera, ",Phim Kinh Dị,2012,rec 3 genesis,góc quay đẫm máu 3,Phim Mỹ,Phim Kinh Dị
Isara Nadee,"Paramej Noiam, Peter Knight, Unchalee Hassadeevichit, ",Phim Kinh Dị,2012,407 dark flight,chuyến bay kinh hoàng,Phim Thái Lan,Phim Kinh Dị
Chris Kentis,"Adam Trese, Elizabeth Olsen, Eric Sheffer Stevens, ",Phim Kinh Dị,2012,silent house,ngôi nhà câm,Phim Mỹ,Phim Kinh Dị
Drew Goddard,"Anna Hutchison, Chris Hemsworth, Kristen Connolly, ",Phim Kinh Dị,2011,the cabin in the woods,ngôi nhà gỗ trong rừng,Phim Mỹ,Phim Kinh Dị
David Cholewa,"Gilles Barret, Margaux Devy, Sylvain Dubois, ",Phim Kinh Dị,2013,dead shadows,bóng tối chết chóc,Phim Mỹ,Phim Kinh Dị
Jonathan Levine,"Analeigh Tipton, Nicholas Hoult, Teresa Palmer, ",Phim Kinh Dị,2013,warm bodies,tình yêu zombie,Phim Mỹ,Phim Hài
Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, ",Phim Kinh Dị,2012,the twilight saga breaking dawn part 2,hừng đông phần 2,Phim Mỹ,Phim Kinh Dị
Patchanon Thammajira,"Apinya Sakuljaroensuk, Focus Jeerakul, Nayapak Bhumisak, Thanawat Prasitthisomporn, Vivid Bavornkiratikajorn, ",Phim Kinh Dị,2013,3 a m 3d,3 giớ sáng,Phim Thái Lan,Phim Kinh Dị
John Gulager,"Danielle Panabaker, David Hasselhoff, Matt Bush, ",Phim Kinh Dị,2012,piranha 3dd,cá hổ ăn thịt người 2,Phim Mỹ,Phim Kinh Dị
Tae-kyeong Kim,"Bo-yeong Park, Byeol Kang, Won Joo, ",Phim Kinh Dị,2012,don't click,đứng nhấn,Phim Hàn Quốc,Phim Kinh Dị
Diệp Vĩ Dân,"Cảnh Cương San, Diệp Hy Kỳ, Đường Văn Long, Hình Dân San, Huệ Ánh Hồng, ",Phim Kinh Dị,2012,blood stained shoes,giày tú hoa,Phim Trung Quốc,Phim Kinh Dị
Shauna Pinkett,"Jeremiah Zagar, Nathan S. Caswell, ",Phim Kinh Dị,2011,remains,thành phố ăn thịt,Phim Mỹ,Phim Kinh Dị
Po Chih Leong,"Hoi Pang Lo, Raymond Lam, Sing Kwan Janelle, ",Phim Kinh Dị,2013,baby blues,búp bê ma ám,Phim Thái Lan,Phim Kinh Dị
Kimberly Peirce,"Chloë Grace Moretz, Gabriella Wilde, Julianne Moore, ",Phim Kinh Dị,2013,carrie,cơn thịnh nộ của carrie,Phim Mỹ,Phim Kinh Dị
Gonzalo López Gallego,"Erin Richards, Joseph Morgan, Josie Ho, Max Wrottesley, Sharlto Copley, Thomas Kretschmann, ",Phim Kinh Dị,2013,open grave,quật mộ,Phim Mỹ,Phim Kinh Dị
Pornchai Hongrattanaporn,"Nawat Kulrattanarak, Virapond Jirawetsuntorakul, Yayaying Rhatha Phongam, ",Phim Kinh Dị,2013,the second sight,nhà ngoại cảm,Phim Thái Lan,Phim Kinh Dị
Valeri Milev,"Forbes KB, Paul Logan, Velizar Binev, ",Phim Kinh Dị,2013,code red,báo động đỏ,Phim Mỹ,Phim Kinh Dị
Craig Gillespie,"Alison R. Rosenzweig, Michael De Luca, Michael J. Gaeta, ",Phim Kinh Dị,2011,fright night,bóng đêm kinh hoàng,Phim Mỹ,Phim Kinh Dị
Min Kyu-Dong,"Lee Se Young, Park Sung Woong, Sung Joon, ",Phim Kinh Dị,2013,horror story 2,câu chuyện kinh hoàng 2,Phim Hàn Quốc,Phim Kinh Dị
Hiroaki Miyamoto,"Kazuya Nakai, Mayumi Tanaka, Yuriko Yamaguchi, ",Phim Hoạt Hình,2016,one piece film gold,đảo hải tặc: gold,Phim Nhật Bản,Phim Hoạt Hình
Elizabeth OlsenJosh BrolinSamuel L. Jackson,"Spike Lee, ",Phim Kinh Dị,2013,oldboy,đồng môn,Phim Mỹ,Phim Kinh Dị
Chu ji Qiu,"Quan Ren, Sandrine Pinna, Wei Lee, ",Phim Kinh Dị,2013,the chrysalis,hận tình,Phim Trung Quốc,Phim Kinh Dị
Christopher Landon,"Andrew Jacobs, Molly Ephraim, Richard Cabral, ",Phim Kinh Dị,2014,paranormal activity the marked ones,lời nguyền bí ẩn vết cắn của quỷ,Phim Mỹ,Phim Kinh Dị
Evan Tramel,"Andrea Monier, Anthony Fanelli, Danielle Lozeau, ",Phim Kinh Dị,2014,the black water vampire,vùng nước đen,Phim Mỹ,Phim Kinh Dị
Anthony DiBlasi,"Kelen Coleman, Kevin Alejandro, Louise Fletcher, ",Phim Kinh Dị,2011,cassadaga,sát nhân cuồng dâm,Phim Mỹ,Phim Kinh Dị
Asai Yoshiyuki,"Asakura Momo, Mizushima Takahiro, Sakura Ayane, Uchida Maaya, Uchiyama Kōki, ",Phim Hoạt Hình,2015,charlotte,dị năng,Phim Nhật Bản,Phim Hoạt Hình
Kanetsugu Kodama,"Minami Takayama, ",Phim Hoạt Hình,2003,detective conan movie 7: crossroad in the ancient capital,thám tử conan movie 7: mê cung trong thành phố cổ,Phim Nhật Bản,Phim Hoạt Hình
Tomohiko Ito,"Ayana Taketatsu, Haruka Tomatsu, Yoshitsugu Matsuoka, ",Phim Hoạt Hình,2014, sword art online 2,đao kiếm thần vực 2,Phim Nhật Bản,Phim Hoạt Hình
Yasuichiro Yamamoto,"Akira Kamiya, Minami Takayama, Wakana Yamazaki, ",Phim Hoạt Hình,2005,detective conan movie 9: strategy above the depths,thám tử conan movie 9: âm mưu trên biển,Phim Nhật Bản,Phim Hoạt Hình
Yasuichiro Yamamoto,"Akira Kamiya, Minami Takayama, Wakana Yamazaki, ",Phim Hoạt Hình,2004,detective conan movie 8: magician of the silver sky,thám tử conan movie 8: nhà ảo thuật với đôi cánh bạc,Phim Nhật Bản,Phim Hoạt Hình
Sean Patrick O'Reilly,"Alison Wandzura, Christopher Plummer, Ron Perlman, ",Phim Hoạt Hình,2016,howard lovecraft and the frozen kingdom,vương quốc băng giá,Phim Mỹ,Phim Hoạt Hình
Kodama Kenji,"Hiroyuki Yoshino, Ishii Masanori, Rie Saitou, Takeharu Onishi, ",Phim Hoạt Hình,2008,kekkaishi,kết giới sư,Phim Nhật Bản,Phim Hoạt Hình
Andrew Tan,"Claire Margaret Corlett, Kazumi Evans, Kelly Sheridan, ",Phim Hoạt Hình,2015,barbie and her sisters in the great puppy adventure,cuộc phiêu lưu tuyệt vời của barbie và những chú cún,Phim Mỹ,Phim Hoạt Hình
John Musker,"James Woods, Susan Egan, Tate Donovan, ",Phim Hoạt Hình,1997,hercules,dũng sĩ hecquyn,Phim Mỹ,Phim Hoạt Hình
Conrad Helten,"Erica Lindbeck, Jenny Pellicer, Stephanie Sheh, ",Phim Hoạt Hình,2016,barbie: spy squad,barbie đội gián điệp,Phim Mỹ,Phim Hoạt Hình
Nathan Greno,"Alan Dale, Mandy Moore, Zachary Levi, ",Phim Hoạt Hình,2012,tangled ever after,rượt theo chiếc nhẫn,Phim Mỹ,Phim Hoạt Hình
Wilfred Jackson,"Barbara Luddy, Larry Roberts, Peggy Lee, ",Phim Hoạt Hình,1995,lady and the tramp,tiểu thư và gã lang thang,Phim Mỹ,Phim Hoạt Hình
Tony Tang,"Aaron Krebs, Heather Gordon, John S. Flynn, ",Phim Hoạt Hình,2012,sky force,cảnh sát bầu trời,Phim Mỹ,Phim Hoạt Hình
Tom McGrath,"Brad Pitt, Jonah Hill, Will Ferrell, ",Phim Hoạt Hình,2010,the megamind,kẻ xấu đẹp trai,Phim Mỹ,Phim Hoạt Hình
Brad Silberling,"Bill Pullman, Cathy Moriarty, Christina Ricci, ",Phim Hoạt Hình,1995,casper,con ma vui vẻ,Phim Mỹ,Phim Hoạt Hình
Darrell Rooney,"Alyssa Milano, Chazz Palminteri, Scott Wolf, ",Phim Hoạt Hình,2001,lady and the tramp ii scamps adventure,tiểu thư và gã lang thang 2,Phim Mỹ,Phim Hoạt Hình
Yasuichiro Yamamoto,"Hayashibara Megumi, Takayama Minami, Wakana Yamazaki, ",Phim Hoạt Hình,2006,detective conan movie 10: the private eyes' requiem,thám tử conan movie 10: lễ cầu hồn của thám tử,Phim Nhật Bản,Phim Hoạt Hình
Frank Nissen,"Brenda Blethyn, Jim Cummings, Kyle Stanger, ",Phim Hoạt Hình,2005,poohs heffalump movie,chuyện của chú gấu pooh,Phim Mỹ,Phim Hoạt Hình
Sean Patrick O'Reilly,"Alexa PenaVega, Bill Paxton, Christopher Plummer, ",Phim Hoạt Hình,2015,pixies,bộ lạc tiểu tiên,Phim Mỹ,Phim Hoạt Hình
Guillermo del Toro,"Anton Yelchin, Kelsey Grammer, Lexi Medrano, ",Phim Hoạt Hình,2016,trollhunters,thợ săn yêu tinh,Phim Mỹ,Phim Hoạt Hình
Đang cập nhật,Đang cập nhật,Phim Hoạt Hình,2015,opti morphs,chiến xa thần thú,Phim Trung Quốc,Phim Hoạt Hình
Chris Miller,"Cameron diaz, Eddie Murphy, Mike myers, ",Phim Hoạt Hình,2007,shrek the third,gã chằn tinh tốt bụng 3,Phim Mỹ,Phim Hoạt Hình
Tetsuya Nomura,"Ayumi Itô, Shotaro Morikubo, Takahiro Sakurai, ",Phim Hoạt Hình,2005,final fantasy vii: advent children,hành trình của những đứa trẻ,Phim Nhật Bản,Phim Hoạt Hình
Yasuichiro Yamamoto,"Chafurin, Ken'yû Horiuchi, Megumi Hayashibara, ",Phim Hoạt Hình,2007,detective conan movie 11: jolly rogers in the deep azure,thám tử conan movie 11: huyền bí dưới biển xanh,Phim Nhật Bản,Phim Hoạt Hình
Daisuke Nishio,"Christopher Sabat, Sean Schemmel, Stephanie Nadolny, ",Phim Hoạt Hình,1989,dragon ball z: dead zone,7 viên ngọc rồng z: chiến binh bất tử,Phim Nhật Bản,Phim Hoạt Hình
Mitsuo Hashimoto,"Masako nozawa, Mayumi Tanaka, Toshio Furukawa, ",Phim Hoạt Hình,1991,dragon ball z: lord slug,7 viên ngọc rồng: chúa tể ốc sên,Phim Nhật Bản,Phim Hoạt Hình
Mitsuo Hashimoto,"Masako nozawa, Mayumi Tanaka, Toshio Furukawa, ",Phim Hoạt Hình,1991,dragon ball z: cooler's revenge,7 viên ngọc rồng: cooler phục hận,Phim Nhật Bản,Phim Hoạt Hình
Shigeyasu Yamauchi,"Bin Shimada, Masako nozawa, Ryō Horikawa, ",Phim Hoạt Hình,1993,dragon ball z: broly the legendary super saiyan,7 viên ngọc rồng: siêu saiyan huyền thoại,Phim Nhật Bản,Phim Hoạt Hình
Yoshihiro Ueda,"Masako nozawa, Mayumi Tanaka, Toshio Furukawa, ",Phim Hoạt Hình,1993,dragon ball z: bojack unbound,7 viên ngọc rồng: vòng đấu bất phân,Phim Nhật Bản,Phim Hoạt Hình
Hiroyuki Kakudou,"Digimon Kaiser, ",Phim Hoạt Hình,1999,digimon adventure,cuộc phiêu lưu của những con thú,Phim Nhật Bản,Phim Hoạt Hình
Shigeyasu Yamauchi,"Nozawa Masako, Shimada Bin, Takeshi Kusao, ",Phim Hoạt Hình,1994,dragon ball z: broly second coming,7 viên ngọc rồng: broly trở lại lần nữa,Phim Nhật Bản,Phim Hoạt Hình
Kazuhito Kikuchi,"Christopher Sabat, Sean Schemmel, Stephanie Nadolny, ",Phim Hoạt Hình,1992,dragon ball z: super android 13,7 viên ngọc rồng: người máy số 13,Phim Nhật Bản,Phim Hoạt Hình
Yoshihiro Ueda,"Daisuke Gôri, Masako nozawa, Takeshi Kusao, ",Phim Hoạt Hình,1994,dragon ball z: bio broly,7 viên ngọc rồng: broly đệ nhị,Phim Nhật Bản,Phim Hoạt Hình
Shigeyasu Yamauchi,"Nozawa Masako, Ryō Horikawa, Takeshi Kusao, ",Phim Hoạt Hình,1995,dragon ball z: fusion reborn,7 viên ngọc rồng: cửa địa ngục,Phim Nhật Bản,Phim Hoạt Hình
Jay Oliva,"David McCallum, Grey Griffin, Jason O’Mara, Jeremy Sisto, ",Phim Hoạt Hình,2015,batman vs. robin,người dơi và robin,Phim Nhật Bản,Phim Hoạt Hình
Ron Clements,"Dwayne Johnson, Rachel House, Temuera Morrison, ",Phim Hoạt Hình,2016,moana,nàng công chúa moana,Phim Mỹ,Phim Hoạt Hình
Yamamoto Yasuichiro,"Akira Kamiya, Kappei Yamaguchi, Minami Takayama, ",Phim Hoạt Hình,2008,detective conan movie 12: full score of fear,thám tử conan movie 12: sự sợ hãi bất ngờ,Phim Nhật Bản,Phim Hoạt Hình
Đang cập nhật,Đang cập nhật,Phim Hoạt Hình,2016,open open,tiểu đội open,Phim Trung Quốc,Phim Hài
Nacho La Casa,"Dani Rovira, Guillermo Romero, José Mota, ",Phim Hoạt Hình,2017,ozzy,cuộc đào tẩu của ozzy,Phim Mỹ,Phim Hoạt Hình
Eric Rogers,"Bobcat Goldthwait, Chris Diamantopoulos, Jonathan Banks, ",Phim Hoạt Hình,2016,skylanders academy,học viện skylanders,Phim Mỹ,Phim Hoạt Hình
Ayumu Watanabe,"Hitori Gekidan, Mizuta Wasabi, Ryûnosuke Kamiki, Tomokazu Seki, Yumi Kakazu, ",Phim Hoạt Hình,2006,doraemon nobita's dinosaur,nobita và chú khủng long lạc loài,Phim Nhật Bản,Phim Hoạt Hình
Yukiyo Teramoto,"Megumi Ohara, Subaru Kimura, Wasabi Mizuta, Yumi Kakazu, ",Phim Hoạt Hình,2007,doraemon nobita's new great adventure into the underworld,nobita và chuyến phiêu lưu vào xứ quỷ,Phim Nhật Bản,Phim Hoạt Hình
Hajime Kamegaki,"Chafurin, Isshin Chiba, Kanichi Kurita, Minami Takayama, ",Phim Hoạt Hình,2013,lupin iii vs detective conan,cuộc đối đầu của lunpin và conan,Phim Nhật Bản,Phim Hoạt Hình
Ayumu Watanabe,"Megumi Oohara, Wasabi Mizuta, Yumi Kakazu, ",Phim Hoạt Hình,2008,doraemon nobita and the green giant legend,nobita và truyền thuyết thần rừng,Phim Nhật Bản,Phim Hoạt Hình
Watanabe Masaharu,"Kobayashi Yuusuke, Minase Inori, Takahashi Rie, ",Phim Hoạt Hình,2016,re:zero kara hajimeru isekai seikatsu,hồi sinh thuật,Phim Nhật Bản,Phim Hoạt Hình
Kobun Shizuno,"Minami Takayama, Rikiya Koyama, Wakana Yamazaki, ",Phim Hoạt Hình,2011,detective conan movie 15: quarter of silence,thám tử conan movie 15: 15 phút tĩnh lặng,Phim Nhật Bản,Phim Hoạt Hình
